ParticipantName	FixationIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	MediaName
01	0.0	Fixation	150	557	40	http://ncc.metu.edu.tr/
01	1.0	Fixation	100	478	159	http://ncc.metu.edu.tr/
01	2.0	Fixation	416	499	500	http://ncc.metu.edu.tr/
01	3.0	Fixation	250	478	300	http://ncc.metu.edu.tr/
01	4.0	Fixation	250	478	159	http://ncc.metu.edu.tr/
01	5.0	Fixation	350	499	300	http://ncc.metu.edu.tr/
02	0.0	Fixation	150	557	40	http://ncc.metu.edu.tr/
02	1.0	Fixation	600	478	159	http://ncc.metu.edu.tr/
02	2.0	Fixation	300	499	300	http://ncc.metu.edu.tr/
03	1.0	Fixation	200	557	40	http://ncc.metu.edu.tr/
03	2.0	Fixation	100	499	300	http://ncc.metu.edu.tr/
04	0.0	Fixation	150	557	40	http://ncc.metu.edu.tr/
04	1.0	Fixation	100	478	159	http://ncc.metu.edu.tr/
04	2.0	Fixation	416	499	500	http://ncc.metu.edu.tr/
04	3.0	Fixation	350	499	300	http://ncc.metu.edu.tr/
