ParticipantName	GazeEventDuration	GazeEventDuration	GazeEventDuration	GazePointX (MCSpx)	GazePointY (MCSpx)	MediaName
P03h	133	133	133	1018.0	606.0	http://www.fiit.stuba.sk/
P03h	133	133	133	1042.0	612.0	http://www.fiit.stuba.sk/
P03h	133	133	133	1070.0	586.0	http://www.fiit.stuba.sk/
P03h	133	133	133	1047.0	581.0	http://www.fiit.stuba.sk/
P03h	133	133	133	1040.0	591.0	http://www.fiit.stuba.sk/
P03h	133	133	133	1040.0	587.0	http://www.fiit.stuba.sk/
P03h	133	133	133	1047.0	598.0	http://www.fiit.stuba.sk/
P03h	133	133	133	1040.0	600.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1100.0	604.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1008.0	719.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1104.0	626.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1013.0	778.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1113.0	610.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1071.0	591.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1117.0	603.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1062.0	421.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1056.0	420.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1059.0	396.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1038.0	391.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1050.0	385.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1061.0	403.0	http://www.fiit.stuba.sk/
P03h	117	117	117	1052.0	392.0	http://www.fiit.stuba.sk/
P03h	183	183	183	1065.0	642.0	http://www.fiit.stuba.sk/
P03h	183	183	183	1057.0	660.0	http://www.fiit.stuba.sk/
P03h	183	183	183	1066.0	725.0	http://www.fiit.stuba.sk/
P03h	183	183	183	1073.0	646.0	http://www.fiit.stuba.sk/
P03h	183	183	183	1049.0	646.0	http://www.fiit.stuba.sk/
P03h	183	183	183	1081.0	631.0	http://www.fiit.stuba.sk/
P03h	183	183	183	1064.0	674.0	http://www.fiit.stuba.sk/
P03h	183	183	183	1076.0	674.0	http://www.fiit.stuba.sk/
P03h	183	183	183	1034.0	653.0	http://www.fiit.stuba.sk/
P03h	183	183	183	1043.0	680.0	http://www.fiit.stuba.sk/
P03h	183	183	183	1052.0	672.0	http://www.fiit.stuba.sk/
P03h	150	150	150	844.0	62.0	http://www.fiit.stuba.sk/
P03h	150	150	150	856.0	51.0	http://www.fiit.stuba.sk/
P03h	150	150	150	853.0	50.0	http://www.fiit.stuba.sk/
P03h	150	150	150	822.0	43.0	http://www.fiit.stuba.sk/
P03h	150	150	150	839.0	66.0	http://www.fiit.stuba.sk/
P03h	150	150	150	863.0	60.0	http://www.fiit.stuba.sk/
P03h	150	150	150	847.0	65.0	http://www.fiit.stuba.sk/
P03h	150	150	150	849.0	82.0	http://www.fiit.stuba.sk/
P03h	150	150	150	856.0	89.0	http://www.fiit.stuba.sk/
P03h	150	150	150	685.0	59.0	http://www.fiit.stuba.sk/
P03h	150	150	150	699.0	51.0	http://www.fiit.stuba.sk/
P03h	150	150	150	711.0	76.0	http://www.fiit.stuba.sk/
P03h	150	150	150	700.0	65.0	http://www.fiit.stuba.sk/
P03h	150	150	150	663.0	63.0	http://www.fiit.stuba.sk/
P03h	150	150	150	704.0	72.0	http://www.fiit.stuba.sk/
P03h	150	150	150	669.0	76.0	http://www.fiit.stuba.sk/
P03h	150	150	150	682.0	53.0	http://www.fiit.stuba.sk/
P03h	150	150	150	677.0	73.0	http://www.fiit.stuba.sk/
P03h	150	150	150	687.0	69.0	http://www.fiit.stuba.sk/
P03h	150	150	150	676.0	54.0	http://www.fiit.stuba.sk/
P03h	150	150	150	701.0	52.0	http://www.fiit.stuba.sk/
P03h	150	150	150	686.0	68.0	http://www.fiit.stuba.sk/
P03h	150	150	150	688.0	58.0	http://www.fiit.stuba.sk/
